,Player1,Player2,D,DD,DDD,DDL,DDV,DL,DLD,DLL,DLV,DV,DVD,DVL,DVV,L,LD,LDD,LDL,LDV,LL,LLD,LLL,LLV,LV,LVD,LVL,LVV,V,VD,VDD,VDL,VDV,VL,VLD,VLL,VLV,VV,VVD,VVL,VVV
222,5018,47296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
223,5032,41400,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
224,5192,41494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
225,5235,3208,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
226,5235,8930,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
227,5235,22245,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
228,5235,27321,,,,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,
229,5235,36251,,,,1.0,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,
230,5235,47661,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,
231,5241,9234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
232,5241,18266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
233,5241,32319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
234,5241,42676,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
235,5277,1759,,2.0,3.0,,,1.0,2.0,,,,1.0,2.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,
236,5277,50458,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
237,5277,51551,,1.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
238,5596,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
239,5596,30084,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,5596,39269,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,5596,43581,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,5626,26138,,1.0,2.0,2.0,2.0,,1.0,,3.0,1.0,3.0,2.0,2.0,,1.0,2.0,,1.0,,2.0,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,3.0
243,5626,34174,1.0,,2.0,2.0,1.0,1.0,1.0,,2.0,1.0,2.0,3.0,1.0,,2.0,2.0,1.0,,1.0,3.0,,2.0,,,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0
244,5626,48626,,1.0,,2.0,2.0,,1.0,1.0,2.0,2.0,1.0,1.0,2.0,,,1.0,,2.0,1.0,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0
245,5810,31414,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
246,5821,40730,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
247,5824,43296,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
248,5933,50458,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,6077,10276,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
250,6143,14069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
251,6145,53900,1.0,2.0,2.0,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
252,6243,27525,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,1.0,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,
253,6319,27811,1.0,,,,1.0,,,1.0,4.0,,2.0,1.0,2.0,,,1.0,,,,,,1.0,1.0,2.0,1.0,2.0,,2.0,2.0,,,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0
254,6607,13406,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
255,6607,24891,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
256,6607,32419,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,6607,36698,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
258,6679,21778,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
259,6679,33442,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
260,6713,10232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,2.0,1.0,,
261,6713,26472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,2.0,,2.0,4.0
262,6713,37609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,2.0,1.0,1.0,3.0,
263,6713,49386,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,2.0,
264,6736,29772,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
265,6736,37342,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
266,6829,9816,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,
267,6829,43064,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
268,6888,25626,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0
269,6953,30598,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,6961,9763,1.0,1.0,2.0,,2.0,,1.0,,3.0,1.0,2.0,,1.0,,1.0,1.0,,,,,,1.0,,3.0,,2.0,,1.0,2.0,,2.0,,1.0,,2.0,,,,1.0
271,6998,31264,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
272,7157,22245,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
273,7157,42967,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
274,7378,8915,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,
275,7409,48791,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
276,7412,28005,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
277,7515,15018,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
278,7531,24889,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
279,7734,35086,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,7772,1053,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,
281,7772,17896,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,2.0,
282,7772,25513,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
283,7772,36801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
284,7798,10012,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,
285,7933,20860,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,
286,7933,32718,,,,,,,,,,,,1.0,,,,,,,1.0,,4.0,1.0,1.0,,2.0,,,,,,,,,,,,,,
287,7945,30084,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
288,7945,48512,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
289,7948,30034,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
290,7948,48639,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
291,7959,32861,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,
292,8043,17456,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
293,8212,34611,1.0,,,2.0,,,1.0,,,,,7.0,,,,,2.0,,1.0,,1.0,,,1.0,2.0,,,,,1.0,,3.0,1.0,5.0,,,,2.0,
294,8212,36176,,,,,2.0,,,1.0,,2.0,,2.0,2.0,1.0,,,,,,,,4.0,,,3.0,,,,,,2.0,2.0,,2.0,3.0,,,1.0,
295,8281,7412,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,
296,8362,1500,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
297,8362,18283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
298,8362,36701,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
299,8362,36738,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,
300,8362,40985,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,8507,51220,1.0,1.0,,1.0,,,,1.0,1.0,,,3.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0
302,8584,48171,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
303,8618,8689,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
304,8618,19855,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,8640,30410,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
306,8640,42363,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
307,8812,3293,1.0,,,,,,,,4.0,,,,1.0,,1.0,1.0,,,,,,3.0,2.0,1.0,,3.0,,,,,,,1.0,,2.0,1.0,,,2.0
308,8812,9725,,,,,,,,,1.0,,,,,,1.0,1.0,,2.0,,,,3.0,1.0,1.0,,2.0,,,,,,,1.0,,1.0,,,,1.0
309,8913,34025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
310,8930,11838,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,1.0
311,8930,21086,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,
312,8930,22245,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,
313,8930,36251,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
314,8951,624,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0
315,8951,25786,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,2.0,3.0,1.0,,9.0,,,,,1.0,,2.0,,2.0,1.0,,,1.0,
316,8951,27965,,,,1.0,,,1.0,,,,,1.0,,,,2.0,,,,,,2.0,,1.0,,,,,,,,1.0,,,,,,1.0,
317,8951,31633,,,,,,,1.0,,1.0,,,,,,2.0,,1.0,1.0,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,
318,8951,34770,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,,2.0,1.0,,,2.0,,,,,,,1.0,,3.0,,,,,
319,8951,40829,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,
320,9051,21756,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,3.0,,,,,,,,,1.0,,,,,
321,9179,32861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,2.0,
322,9234,5241,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
323,9234,8915,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,4.0,,,,
324,9234,15290,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,
325,9234,32319,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
326,9234,46825,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
327,9294,8362,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
328,9294,15006,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,2.0,
329,9294,18283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
330,9294,29909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
331,9321,78,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
332,9321,20190,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
333,9321,37046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
334,9321,44693,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,
335,9442,376,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,3.0,
336,9442,2199,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,2.0,1.0,3.0,1.0,,,,
337,9442,13329,,,2.0,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,2.0,,2.0,,,2.0,
338,9442,23736,,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,
339,9442,28331,,1.0,1.0,1.0,,,2.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,3.0,,,,,,,1.0,1.0,2.0,,,,,
340,9525,3208,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,9525,3598,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
342,9525,15330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
343,9525,17438,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
344,9525,27965,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
345,9525,31633,1.0,,,,,,,,1.0,,,2.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,
346,9525,36251,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,
347,9525,47661,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,
348,9525,52850,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,
349,9763,52525,,1.0,2.0,,1.0,,,,1.0,,,,1.0,,1.0,,,2.0,,1.0,,2.0,,1.0,,2.0,,,,,,,,,,,,,
350,9763,53900,,,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,
351,9821,38698,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
352,9863,7378,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
353,10012,14337,,,,,3.0,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,1.0,
354,10012,20976,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,,
355,10012,44602,,1.0,,1.0,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
356,10040,5018,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0
357,10220,41469,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,10232,13605,,,,,1.0,,,,1.0,1.0,,3.0,2.0,,,,,1.0,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,
359,10232,25554,,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,
360,10276,11614,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
361,10279,39224,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
362,10304,2774,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,7.0,,,,,,,,,,,,,,
363,10304,27643,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,10405,29283,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
365,10446,2000,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
366,10669,34174,,,2.0,2.0,,1.0,3.0,,,,2.0,1.0,1.0,,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,1.0,,,3.0,,1.0,,2.0,3.0,1.0
367,10714,27915,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
368,10720,3611,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,
369,10720,24852,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,5.0,,,3.0,
370,10720,29951,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,2.0,,,2.0,,,,,,1.0,,1.0,3.0,,,,
371,10770,40730,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
372,10838,22023,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,1.0,,,,,,,,,
373,10838,45960,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
374,10839,14893,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,10839,48412,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
376,10851,45266,,,,,1.0,,,,2.0,1.0,,,,,,,,4.0,,,,3.0,2.0,,,3.0,,,,,2.0,,,,3.0,1.0,,,
377,10891,30084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
378,11205,36245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
379,11205,40038,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
380,11401,33533,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,
381,11401,35347,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0
382,11401,36552,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0
383,11447,1769,,,,,,,,,,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,
384,11447,12763,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,1.0,1.0,,,,,,,,,1.0,,,,
385,11447,36680,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,
386,11614,2742,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
387,11614,42201,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
388,11614,45506,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
389,11675,13018,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,1.0,,,1.0,2.0
390,11675,34786,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0
391,11693,35835,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,
392,11782,35835,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
393,11782,37039,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,11782,44367,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
395,11838,15330,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
396,11838,21086,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,1.0,,,,,
397,11838,31633,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,
398,11838,38835,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
399,11875,14337,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,2.0,1.0
400,11947,2699,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
401,12092,3528,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,
402,12092,16721,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,1.0,,2.0,
403,12092,24823,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,2.0,,,4.0,
404,12162,1597,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,1.0,1.0,,,,
405,12162,40557,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,1.0,1.0,,1.0,,
406,12162,41786,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
407,12218,34969,,,,3.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,2.0,2.0,,1.0,1.0,3.0,1.0,,5.0,2.0,,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,4.0,
408,12218,51220,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,3.0,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,3.0,1.0,,,1.0,1.0
409,12269,10770,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
410,12269,38698,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
411,12269,40287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
412,12283,12187,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,
413,12327,18038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
414,12482,11447,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,
415,12482,48305,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0
416,12639,11205,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
417,12639,40038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
418,12748,52240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
419,12763,43685,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
420,12811,36367,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,12847,32114,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
422,12873,31668,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,12923,4014,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,
424,13018,11447,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
425,13018,12763,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
426,13058,1264,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
427,13058,17741,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
428,13058,18085,,,1.0,,,,,,1.0,,1.0,3.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
429,13058,19276,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
430,13058,20477,,,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
431,13058,52560,1.0,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
432,13096,6242,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
433,13096,27199,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
434,13096,45122,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
435,13149,1053,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
436,13149,17896,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,13149,35542,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
438,13183,42874,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
439,13183,44179,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,
440,13294,13605,,,,,,,,,,,,,,1.0,,,,2.0,,,,3.0,2.0,,3.0,2.0,,,,,,1.0,,3.0,1.0,,,2.0,
441,13450,42586,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,,,2.0,1.0
442,13496,789,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
443,13496,36801,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,
444,13519,973,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
445,13519,11782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
446,13550,3138,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
447,13550,37752,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
